id,image path,caption,page number,chapter number,chapter name,book name,Author
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_3pg.png,From the Figural cavinet by Oskar Schlemmer,3,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_12pg(1).png,Total Theater,12,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_12pg(2).png,Total Theater,12,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_12pg(3).png,Total Theater,12,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_14pg(1).png,Total Theater,14,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_14pg(2).png,Total Theater,14,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_17pg.png,no discription,17,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_19pg.png,no discription,19,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_20pg.png,"Scheme for stage, cult and popular entertainment according to:",20,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_21pg.png,no discription,21,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_22pg(1).png,no discription,22,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_22pg(2).png,no discription,22,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
