id,image path,caption,page number,chapter number,chapter name,book name,Author
,/Users/ohyoungmo/Bauhausorbits/06_PrinciplesOfNeoPlasticArt/06_PrinciplesOfNeoPlasticArt_53pg.png,The Elementary expressional means of painting,53,-,-,Principles of Neo-Plastic Art,Theo van Doesburg
,/Users/ohyoungmo/Bauhausorbits/06_PrinciplesOfNeoPlasticArt/06_PrinciplesOfNeoPlasticArt_54pg(1).png,The elementary expressional means of sculpture,54,-,-,Principles of Neo-Plastic Art,Theo van Doesburg
,/Users/ohyoungmo/Bauhausorbits/06_PrinciplesOfNeoPlasticArt/06_PrinciplesOfNeoPlasticArt_54pg(2).png,The Elementary expressional means of Architecture,54,-,-,Principles of Neo-Plastic Art,Theo van Doesburg
,/Users/ohyoungmo/Bauhausorbits/06_PrinciplesOfNeoPlasticArt/06_PrinciplesOfNeoPlasticArt_55pg.png,Construction synthesizing the various elemetary plastic means,55,-,-,Principles of Neo-Plastic Art,Theo van Doesburg
,/Users/ohyoungmo/Bauhausorbits/06_PrinciplesOfNeoPlasticArt/06_PrinciplesOfNeoPlasticArt_56pg(1).png,Anobject Aesthetically transfigured,56,-,-,Principles of Neo-Plastic Art,Theo van Doesburg
,/Users/ohyoungmo/Bauhausorbits/06_PrinciplesOfNeoPlasticArt/06_PrinciplesOfNeoPlasticArt_56pg(2).png,Anobject Aesthetically transfigured,56,-,-,Principles of Neo-Plastic Art,Theo van Doesburg
,/Users/ohyoungmo/Bauhausorbits/06_PrinciplesOfNeoPlasticArt/06_PrinciplesOfNeoPlasticArt_56pg(3).png,Anobject Aesthetically transfigured,56,-,-,Principles of Neo-Plastic Art,Theo van Doesburg
,/Users/ohyoungmo/Bauhausorbits/06_PrinciplesOfNeoPlasticArt/06_PrinciplesOfNeoPlasticArt_56pg(4).png,Anobject Aesthetically transfigured,56,-,-,Principles of Neo-Plastic Art,Theo van Doesburg
,/Users/ohyoungmo/Bauhausorbits/06_PrinciplesOfNeoPlasticArt/06_PrinciplesOfNeoPlasticArt_57pg(1).png,"Theo Van Doesburg(1921), Compositions constructed with elemetary means",57,-,-,Principles of Neo-Plastic Art,Theo van Doesburg
,/Users/ohyoungmo/Bauhausorbits/06_PrinciplesOfNeoPlasticArt/06_PrinciplesOfNeoPlasticArt_58pg(1).png,"G. Vantongerloo, sculpture 2(1918)",58,-,-,Principles of Neo-Plastic Art,Theo van Doesburg
,/Users/ohyoungmo/Bauhausorbits/06_PrinciplesOfNeoPlasticArt/06_PrinciplesOfNeoPlasticArt_59pg(1).png,"Theo Van Doesburg, Artistic's hiuse with studio(1923)",59,-,-,Principles of Neo-Plastic Art,Theo van Doesburg
