id,image path,caption,page number,chapter number,chapter name,book name,Author
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_12pg.png,"E. Consemüller, Schreibtisch",12,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_13pg.png,"E.Dieckmann, Schreibtisch",13,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_14pg.png,"M.Breuer, Schreibtisch für das Versuchshaus des Bauhauses am Horn, Weimar.",14,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_15pg.png,"W.Gropius, Schreibtisch",15,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_16pg.png,"M. Breuer, Mit Bücherregal kombinierter Schreibtisch",16,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_17pg.png,"M. Breuer, Mit Bücherregal kombinierter Schreibtisch",17,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_18pg.png,"W.Gropius, Polstersessel",18,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_19pg.png,"W. Gropius, Direktionszimmer im weimarer Bauhaus",19,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_21pg.png,"W. Gropius, Regal",21,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_22pg.png,"J. Albers, Zeitschriften und Notenregal",22,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_23pg.png,"J. Albers, Ausstellungsschrank",23,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_24pg.png,"J. Albers, Wandflappstühle yu dem Tisch",24,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_25pg.png,"J. Albers, Sitzungstisch..",25,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_26pg.png,"M. Breuer, Tisch",26,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_27pg.png,"E. Dieckmann, Schreibsessel mit beweglicher Rückenlehne.",27,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_28pg.png,no discription,28,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_29pg.png,"E. Dieckmann, Bücherschrank",29,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_30pg.png,"M. Breuer, Bett für das Damenschlafzimmer im Versuchshaus des Bauhauses",30,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_31pg.png,"M. Breuer, Toilettentisch",31,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_32pg.png,"M. Breuer, Sessel",32,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_33pg.png,no discription,33,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_34pg.png,"J. Alvers, Bücherschrank",34,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_35pg.png,"M. Breuer, Bücherschrank",35,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_36pg.png,"M. Breuer, Kinderstühlcen",36,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_37pg.png,"M. Breuer, Kinderstühle und Tisch",37,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_39pg.png,"M. Breuer, Küchenschrank",39,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_40pg.png,"M. Breuer, Küchentisch und Stuhl",40,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_41pg.png,"E. Brendel, Teetisch",41,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_42pg.png,"Alma Buscher, Spielschrank im Gebrauch",42,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_43pg.png,"Alma Buscher, Spielschrank",43,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_44pg.png,"Alma Buscher, Wickelkommode mit Tisch für Badewanne",44,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_45pg.png,"Alma Buscher, Spielzeug",45,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_46pg.png,"Alma Buscher, Kugelspiel",46,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_47pg.png,"Alma Buscher, Spielzeug",47,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_48pg.png,"E. Schrammen, Laufrad für kinder",48,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/07_NeueArbeitenderBauhauswerkstäffen/07_NeueArbeitenderBauhauswerkstäffen_49pg.png,"H. Nosselt, Schachtisch",49,-,-,Neue Arbeiten der Bauhauswerkstätten,"Walter Gropius, Moholy-Nagy"
