id,image path,caption,page number,chapter number,chapter name,book name,Author
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_9pg(1).png,"1. Rudolf Marwitz (Bauhaus, 1928).",9,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_13pg(1).png,"1. Rudolf Marwitr (Bauhaus, 1928). Revolving tactile drum with contrasting tactile values; materials arranged in rows.",13,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_14pg(1).png,no discription,14,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_14pg(2).png,"2, a, b. Charles Niedringhaus (New Bauhous, 1938). “Smell-o-Meter."" For mixing six different odors six tubes are used and on electric",14,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_14pg(3).png,structure of wrapping paper(microphotograph),14,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_15pg(1).png,4. Texture of the skin of a man. allegedly 130 years old. in Minnesota.,15,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_15pg(2).png,surface aspect. Caruso's high c on a phonograph record. Microphotograph,15,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_15pg(3).png,Massing(surface aspect),15,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_15pg(4).png,"Gerado Marx(Bauhaus, 1927). Surface treatments of paper(a single material, diffent tools)",15,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_15pg(5).png,"Hilde Horn(Bauhaus, 1924). A visual translation of values in the material.",15,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
