,book_id,book_language,image_page,image_path,image_id,image_type,image_number,image_text,image_sentiment_score,image_lda,image_lda_scores
0,3,de,26,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_26pg.png,1,text,1,"P. J. H Cuijpers, Reichsmuseum in Amsterdam, 1876",0.0,[],[]
1,3,de,27,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_27pg.png,2,text,2,"P. J. H Cuijpers, Hauptbahnhof in Amsterdam, 1880",0.0,[],[]
2,3,de,30,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_30pg.png,3,text,3,"H. P. Berlage, Erster Entwurf für die Börse in Amsterdam, 1897",0.0,"['bauhaus', 'entwurf', 'sem']","[0.94, 0.866, 0.853]"
3,3,de,31,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_31pg.png,4,text,4,"H. P. Berlage, Zweiter Entwurf für die Börse in Amsterdam, 1897",0.0,"['bauhaus', 'entwurf', 'sem']","[0.774, 0.7, 0.687]"
4,3,de,32,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_32pg.png,5,text,5,"H. P. Berlage, Dritter Entwurf für die Börse in Amsterdam, 1897",0.0,"['bauhaus', 'entwurf', 'sem']","[0.774, 0.7, 0.687]"
5,3,de,33,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_33pg.png,6,text,6,"H. P. Berlage, Börse in Amsterdam, 1898",0.0,[],[]
6,3,de,36,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_36pg.png,7,text,7,"H. P. Berlage, Entwurf für ein Mausleum, 1889",0.0,"['bauhaus', 'entwurf', 'sem']","[0.774, 0.7, 0.687]"
7,3,de,39,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_39pg.png,8,text,8,"H. P. Berlage, Entwurf für einBethovenhuis inBloemendaal, 1908",0.0,"['bauhaus', 'entwurf', 'sem']","[0.774, 0.7, 0.687]"
8,3,de,40,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_40pg.png,9,text,9,"H. P. Berlage, Ekontogebäude in London, 1914",0.0,[],[]
9,3,de,42,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_42pg.png,10,text,10,"M. DE Klerk, Etagenhäuser von Herrn Hille in Amsterdam. 1911",0.0,[],[]
10,3,de,45,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_45pg.png,11,text,11,"J. M. Van der Mey, Schiffahrstsgebäude in Amsterdam. 1912",0.0,[],[]
11,3,de,46,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_46pg.png,12,text,12,"P. Kramer, Seeleuteheim in den Helder, 1914",0.0,[],[]
12,3,de,47,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_47pg.png,13,text,13,"M. DE Klerk, Entwurf für Etagenhäuser an der Peripherie einer kleinstadt, 1916",0.0,"['bauhaus', 'entwurf', 'sem']","[0.774, 0.7, 0.687]"
13,3,de,48,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_48pg.png,14,text,14,"M. DE Klerk, Etagenhäuser Spaarndammerplantsoen in Amsterdam, 1913",0.0,[],[]
14,3,de,50,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_50pg.png,15,text,15,"M. DE Klerk, Etagenhäuser Spaarndammerplantsoen in Amsterdam, 1914",0.0,[],[]
15,3,de,51,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_51pg.png,16,text,16,"M. DE Klerk, Etagenhäuser Spaarndammerplantsoen in Amsterdam, 1917",0.0,[],[]
16,3,de,52,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_52pg.png,17,text,17,"M. DE Klerk, Etagenhäuser Spaarndammerplantsoen in Amsterdam, 1917",0.0,[],[]
17,3,de,53,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_53pg.png,18,text,18,"M. DE Klerk, Etagenhäuser Amstellaan in Amsterdam, 1920",0.0,[],[]
18,3,de,54,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_54pg.png,19,text,19,"M. DE Klerk, Entwurf für ein Auktionsgebäude für Blumenverkauf in Aslsmeer, 1922",0.0,"['bauhaus', 'entwurf', 'sem']","[0.774, 0.7, 0.687]"
19,3,de,56,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_56pg.png,20,text,20,"J. J. P. Oud, Entwurf für eine Häuserreihe am Meeresstrande, 1917",0.0,"['bauhaus', 'entwurf', 'sem']","[0.774, 0.7, 0.687]"
20,3,de,57,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_57pg.png,21,text,21,"J. J. P. Oud, Entwurf für ein Fabrikgebäude in Purmerend, 1919",0.0,"['bauhaus', 'entwurf', 'sem']","[0.774, 0.7, 0.687]"
21,3,de,58,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_58pg.png,22,text,22,"J. B. Van Loghem, Saalbau Wohnungsgruppe Rosehaghe in Haarlem, 1920",0.0,[],[]
22,3,de,59,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_59pg.png,23,text,23,"J. B. Van Loghem, Saalbau Wohnungsgruppe Rosehaghe in Haarlem, 1920",0.0,[],[]
23,3,de,60,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_60pg.png,24,text,24,"W. M. Dudok, Schulgebäude in Hilversum, 1921",0.0,[],[]
24,3,de,61,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_61pg.png,25,text,25,"G. Rietveld, Juweilerladen Kalverstraat in Amsterdam, 1922",0.0,[],[]
25,3,de,62,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_62pg.png,26,text,26,"G. Rietveld, Juweilerladen Kalverstraat in Amsterdam, 1922",0.0,[],[]
26,3,de,63,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_63pg.png,27,text,27,"G. Rietveld, Sprechtzimmer eines Artzes in Maarssen, 1922",0.0,[],[]
27,3,de,64,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_64pg.png,28,text,28,"G. Rietverld, Wohnhaus in Utrecht, 1924",0.0,[],[]
28,3,de,65,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_65pg.png,29,text,29,"G. Rietverld, Wohnhaus in Utrecht, 1924",0.0,[],[]
29,3,de,67,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_67pg.png,30,text,30,"P. J. C. Klaarhamer, Entwurf für Etagenhäuser in Utrecht, 1919",0.0,"['bauhaus', 'entwurf', 'sem']","[0.774, 0.7, 0.687]"
30,3,de,68,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_68pg.png,31,text,31,"J. J. P. Oud, Etagenhäuser Spangen in Rotterdam 1919",0.0,[],[]
31,3,de,69,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_69pg.png,32,text,32,"J. J. P .Oud, Etagenhäuser Tusschendyken in Rotterdam, 1920",0.0,[],[]
32,3,de,70,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_70pg.png,33,text,33,"J. J. P .Oud, Etagenhäuser Tusschendyken in Rotterdam, 1920",0.0,[],[]
33,3,de,71,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_71pg.png,34,text,34,"J. J. P .Oud, Etagenhäuser Tusschendyken in Rotterdam, 1920",0.0,[],[]
34,3,de,72,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_72pg.png,35,text,35,"Van Der Vlugt und Wiebenga, Gewerbeschule in Groningen, 1922",0.0,[],[]
35,3,de,73,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_73pg.png,36,text,36,"J. J. P. Oud, Arbeiterwohnhäuser in Hoek van Holland 1924",0.0,[],[]
36,3,de,74,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_74pg.png,37,text,37,"Le corvusier-Saugnier, Landhaus in Vaucresson, 1923",0.0,[],[]
37,3,de,75,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_75pg.png,38,text,38,"W. Gropius mit A. Meyer, Theater in Jena, 1922",0.0,"['gropius', 'dessau', 'anhalt']","[0.907, 0.733, 0.602]"
38,3,de,76,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_76pg.png,39,text,39,"K. Lönberg-Holm, Enwruf für das Hochaus der Chicago Tribune in Chicago, 1922",0.0,[],[]
39,3,de,81,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_81pg.png,40,text,40,"Brinkman undVan der Vlugt, Fabrik van nelle Rotterdam, Entwurf 1925/26",0.0,"['bauhaus', 'entwurf', 'sem']","[0.774, 0.7, 0.687]"
40,3,de,82,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_82pg.png,41,text,41,"J. J. P. Oud, Ideen-Entwurf Börse im Gesamtbild Coolsingel Rotterdam, 1926",0.0,"['bauhaus', 'entwurf', 'sem']","[0.774, 0.7, 0.687]"
41,3,de,83,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_83pg.png,42,text,42,"J. J. P. Oud, Ideen-Entwurf für die Börse in Rotterdam, 1926",0.0,"['bauhaus', 'entwurf', 'sem']","[0.774, 0.7, 0.687]"
42,3,de,84,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_84pg.png,43,text,43,"M. Stam, Entwurf für die Bebauung vom Dam, Terrain in Amsterdam 1926",0.0,"['bauhaus', 'entwurf', 'sem']","[0.774, 0.7, 0.687]"
43,3,de,85,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_85pg.png,44,text,44,"B. Bijvoet und J. Duiker, Sanntorium Zonnestraal Hilversum, 1927",0.0,[],[]
44,3,de,86,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_86pg.png,45,text,45,"J. J. P. Oud, Serienhöuser in Stuttgart, 1927",0.0,[],[]
45,3,de,87,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_87pg.png,46,text,46,"J. J. P. Oud, Wohnzimmer. Serienhäuser Stuttgart, 1927",0.0,"['wohnung', 'bauhausmeist', 'moholy']","[0.792, 0.768, 0.636]"
46,3,de,88,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_88pg.png,47,text,47,"Mart Stam, Serienhäuser Stuttgart. 1927",0.0,[],[]
47,3,de,89,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_89pg.png,48,text,48,"J. J. P. Oud, Wohnzimmer. Serienhäuser Stuttgart, 1927",0.0,"['wohnung', 'bauhausmeist', 'moholy']","[0.792, 0.768, 0.636]"
48,3,de,90,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_90pg(1).png,49,text,49,"S. Van Ravesteijn, Verwaltungsgebäude des Güterbahnhofs Rotterdam-Fijenoord, 1927",0.0,[],[]
49,3,de,90,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_90pg(2).png,50,text,50,"S. Van Ravesteijn, Verwaltungsgebäude des Güterbahnhofs Rotterdam-Fijenoord, 1927",0.0,[],[]
50,3,de,91,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_91pg.png,51,text,51,"S. Van Ravesteijn, Innenraum. Verwaltungsgebäude des Güterbahnhofs Rotterdam-Fijenoord, 1927",0.0,[],[]
51,3,de,92,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_92pg(1).png,52,text,52,"C. Van Eesteren und Dipl.-Ing. G.Jonkheid, Zwei Entwürfe für einen Wasserturm in dem Dünen bei Wassenaar, 1927",0.0,"['bauhaus', 'entwurf', 'sem']","[0.774, 0.7, 0.687]"
52,3,de,92,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_92pg(2).png,53,text,53,"C. Van Eesteren und Dipl.-Ing. G.Jonkheid, Zwei Entwürfe für einen Wasserturm in dem Dünen bei Wassenaar, 1927",0.0,"['bauhaus', 'entwurf', 'sem']","[0.774, 0.7, 0.687]"
53,3,de,93,/Users/ohyoungmo/Bauhausorbits/10_Holländische Architektur/10_Holländische Architektur_93pg.png,54,text,54,"Mart.Stam, Entwurf für einen Wasserturm, 1927",0.0,"['bauhaus', 'entwurf', 'sem']","[0.774, 0.7, 0.687]"
54,4,de,28,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_28pg(1).png,55,text,1,"otti berger(bauhaus, 2. semester 1928) tasttafel aus fäden",0.0,"['bauhaus', 'entwurf', 'sem']","[0.94, 0.866, 0.853]"
55,4,de,28,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_28pg(2).png,56,text,2,"hirich bredendieck(bauhaus, 2.semester 1927) tastafel mit grafischer darstellung",0.0,"['bauhaus', 'entwurf', 'sem']","[0.94, 0.866, 0.853]"
56,4,de,29,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_29pg(1).png,57,text,3,"werner zimmermann(bauhaus, 2 .semester 1927) für druk und vibrationsempfindungen kombinierte tasttafel aus schrauben",0.0,"['bauhaus', 'entwurf', 'sem']","[0.94, 0.866, 0.853]"
57,4,de,29,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_29pg(2).png,58,text,4,"siegfried giesenschlag(bauhaus, 2.semester 1927) tasttafel aus nägeln, hergestellt für registrierung von stichemfindungen",0.0,"['bauhaus', 'entwurf', 'sem']","[0.94, 0.866, 0.853]"
58,4,de,31,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_31pg(1).png,59,text,5,"rudolf marwitz(bauhaus, 2.semester 1928) drehbare tasttrommel mith verschiedenen in sich zeilenweise abgestuften kontrastierenden",0.0,"['bauhaus', 'entwurf', 'sem']","[0.94, 0.866, 0.853]"
59,4,de,32,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_32pg(1).png,60,text,6,"zierath(bauhaus, 2.semester 1927) zweizeilige tasttafel und versuch zu ihrer grafischen übersetzung",0.0,"['bauhaus', 'entwurf', 'sem']","[0.94, 0.866, 0.853]"
60,4,de,33,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_33pg(1).png,61,text,7,"walter kaminski (bauhaus, 2. Semester 1927) zweizeilige, drehbare tasttafel mit nebeneinander liegenden kontrastierenden taktiiischen werten von weich zu hart, von glatt zu rauh.",0.0,"['bauhaus', 'entwurf', 'sem']","[0.773, 0.699, 0.686]"
61,4,de,34,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_34pg(1).png,62,text,8,"omas flake (bauhaus, 2. Semester 1928) vierzeilige tasttafel von rauhstufen und das dazugehörende diagramm",0.0,"['bauhaus', 'entwurf', 'sem']","[0.94, 0.866, 0.853]"
62,4,de,35,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_35pg(1).png,63,text,9,"gerda marx (bauhaus, 2. semester 1928) tasttafel aus papier mit reich ge- gliederten tastwerten für druck- und Vibrationsempfindungen (glatt, rauh, hart, weich, gerillt, gerippt, gewarzt).",0.0,"['bauhaus', 'entwurf', 'sem']","[0.94, 0.866, 0.853]"
63,4,de,36,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_36pg(1).png,64,text,10,"ustav hassenpflug (bauhaus, 2. Semester 1927) vibrations- und druckbrücke. Spiralfederkonstruktion mit lamellen aus verschiedenen materialien.",0.0,"['bauhaus', 'entwurf', 'sem']","[0.94, 0.866, 0.853]"
64,4,de,37,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_37pg(1).png,65,text,11,"sven hansen (bauhaus, 2. semester 1928) pytmisch gegliederte, zweizeilige vibrationstafel mit umkehrung.",0.0,"['bauhaus', 'entwurf', 'sem']","[0.94, 0.866, 0.853]"
65,4,de,38,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_38pg(1).png,66,text,12,"mizutani (bauhaus, 2. Semester 1927) durch zwei gebogene holzstäbe federnde konstruktion mitgummibespannung für druckwerte.",0.0,"['bauhaus', 'entwurf', 'sem']","[0.94, 0.866, 0.853]"
66,4,de,40,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_40pg(1).png,67,text,13,metallstruktur. Kupferplatte,0.0,[],[]
67,4,de,41,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_41pg(1).png,68,text,14,packpapierstruktur (mikrofotografie),0.0,[],[]
68,4,de,41,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_41pg(2).png,69,text,15,"metallstrukturen 
2 kupferstücke zusammengeschweißt (21/2 mal vergrößert)",0.0,[],[]
69,4,de,42,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_42pg(1).png,70,text,16,metallstruktur. elektrolyteisen durchgebrochen,0.0,[],[]
70,4,de,42,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_42pg(2).png,71,text,17,Struktur. Salzlagerstätte. Spanien,0.0,[],[]
71,4,de,43,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_43pg(1).png,72,text,18,fliegeraufnahme mit Struktur der gebirgsformationen,0.0,[],[]
72,4,de,44,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_44pg(1).png,73,text,19,Zellenstruktur der papierwespen. (die deckel der zellen sind entfernt),0.0,[],[]
73,4,de,46,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_46pg(1).png,74,text,20,extun. das feil einer katze. (negativ),0.0,[],[]
74,4,de,47,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_47pg(1).png,75,text,21,textur ein I30jähriger amerikaner von minnesota,0.0,[],[]
75,4,de,47,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_47pg(2).png,76,text,22,"textur ein fauler, mit pilzen besetzter apfel",0.0,[],[]
76,4,de,48,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_48pg(1).png,77,text,23,extur verschiedener futterseiden,0.0,[],[]
77,4,de,49,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_49pg(1).png,78,text,24,"faktur ulmenrinde, durchbohrt von dem sco- litus multistriatus",0.0,[],[]
78,4,de,49,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_49pg(2).png,79,text,25,faktur von dem „buchdrucker“ zerfressene fichte,0.0,[],[]
79,4,de,50,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_50pg(1).png,80,text,26,faktur. vorstadium einer plastischen (relief-)fotografie,0.0,[],[]
80,4,de,51,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_51pg(1).png,81,text,27,faktur gemähtes roggenfeld (flugzeugaufnahme),0.0,[],[]
81,4,de,52,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_52pg(1).png,82,text,28,faktun canusos hohes c auf der Sprechplatte mikroaufnahme,0.0,[],[]
82,4,de,53,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_53pg(1).png,83,text,29,"faktur des wassers. („empress of australia"") Zusammenwirken von wind- und schiffsbeweg-ung.",0.0,[],[]
83,4,de,54,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_54pg(1).png,84,text,30,32 häufung (faktur) alte autoreif,0.0,[],[]
84,4,de,55,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_55pg(1).png,85,text,31,organisiertes haufwerk (faktur) zwirnspulen bei der fabrikation,0.0,[],[]
85,4,de,56,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_56pg(1).png,86,text,32,faktur. (häufung von wasserfakturen),0.0,[],[]
86,4,de,57,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_57pg(1).png,87,text,33,"häufung (faktur) häuser bei es lemua, hebron (fliegeraufnahme)",0.0,[],[]
87,4,de,58,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_58pg(1).png,88,text,34,häufung (faktur) Staubfilter in einer maschinenhalle,0.0,[],[]
88,4,de,59,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_59pg(1).png,89,text,35,geordnetes haufwerk (faktur) zusammensetzspiel einer amerikanischen truppe,0.0,[],[]
89,4,de,60,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_60pg(1).png,90,text,36,häufung (faktur) Schlammvulkan auf neuseeland,0.0,[],[]
90,4,de,61,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_61pg(1).png,91,text,37,häufung petroleumpfützen auf dem wasser,0.0,[],[]
91,4,de,62,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_62pg(1).png,92,text,38,häufung (faktur),0.0,[],[]
92,4,de,63,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_63pg(1).png,93,text,39,"gerda marx (bauhaus, 2. semester 1927) papier-fakturen (ein material, verschiedene Werkzeuge)",0.0,"['bauhaus', 'entwurf', 'sem']","[0.94, 0.866, 0.853]"
93,4,de,64,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_64pg(1).png,94,text,40,"lotar lang (bauhaus, 2. Semester 1927) holzfakturen in verschiedenen Stadien der bearbeitung (sägespänevariation bis zu zer- kleinerten holzstäbchen)",0.0,"['bauhaus', 'entwurf', 'sem']","[0.94, 0.866, 0.853]"
94,4,de,67,/Users/ohyoungmo/Bauhausorbits/14_moholy_nagy_vonMaterialzurArchitektur/14_moholy_nagy_vonMaterialzurArchitektur_67pg(1).png,95,text,41,"klawun (bauhaus, 1. Semester 1924) Studie (verschiedene hoizarten)",0.0,"['bauhaus', 'entwurf', 'sem']","[0.94, 0.866, 0.853]"
